  AUTODYN log file for worker process #           2
 Degenerate element ERODED at cycle         819           2906
 Element ERODED at cycle         819           2906
 Degenerate element ERODED at cycle         869           2930
 Element ERODED at cycle         869           2930
 Degenerate element ERODED at cycle         887           2904
 Element ERODED at cycle         887           2904
 Degenerate element ERODED at cycle         897           2928
 Element ERODED at cycle         897           2928
 Degenerate element ERODED at cycle         965           2903
 Element ERODED at cycle         965           2903
 Degenerate element ERODED at cycle         966           2905
 Element ERODED at cycle         966           2905
Element     2907 ERODED by geometric strain at cycle    2125
 Degenerate element ERODED at cycle        2201           2908
 Element ERODED at cycle        2201           2908
 Degenerate element ERODED at cycle        2207           2902
 Element ERODED at cycle        2207           2902
 Degenerate element ERODED at cycle        2388           2901
 Element ERODED at cycle        2388           2901
